刘烈宏拜会湖南省、长沙市领导，携手共进“智造”新时代 | 要闻 http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890511&idx=1&sn=b0bc6ab76a7ea7e91e12f6cf76f0ebae&chksm=be95a32c89e22a3a9d62228062aca9c70cbdf9aca016df2801a80860b56a7e9abd8e134dce59#rd	[2017/12/14]
争做大会智慧化先锋，打造永不落幕的展览 中国电科勇担互联网大会信息化使命	/zgdzkj/_300931/_300935/495081/index.html	[2017/12/07]
四张“答卷”，管窥成员单位学习宣贯党的十九大精神思路成效 | 十九大·在电科	http://mp.weixin.qq.com/s/wbVhGWuFuJiwRNL3lyy34A	[2017/12/07]
胡爱民：筹建军民融合发展投资基金，支撑产业投融资需要 | 特别关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890126&idx=2&sn=0f083af4a66a2fbb3aa8f7a3a60d1d9f&chksm=be95a0ad89e229bb55ebbe47c9cb522c572569e46a32637e09c9f6e1bd74c73bc894ff1ee58a#rd	[2017/11/27]
喜讯 | 中国电科院士团队再添“新人”，首席科学家陆军当选中国工程院院士	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890126&idx=3&sn=262b752707e664bd01952fde51f3a137&chksm=be95a0ad89e229bb0aad26b9c01927d5905ffbe4c10cc5bf55bbe477e375873475d2610163a7#rd	[2017/11/27]
三次研讨三场培训三种方式，20所推进党的十九大精神学习宣贯工作 | 十九大·在电科   http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890430&idx=2&sn=b78b58bbd6c3d25b65563b776f43cad1&chksm=be95a39d89e22a8b010707b7d1bdc3e3ac6ec4beee551a0f62ea05119a74fbacc0b84a7165e8#rd	[2017/12/11]
探索政府数据共享新模式，助力全国一体化大数据中心建设 | 电科有方案·系列报道	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890430&idx=3&sn=398f51945dfa406755f0a356988786ed&chksm=be95a39d89e22a8b117e148036aece9802382b8c6fc5ff981ce04f01d158895c0291880efdd1#rd	[2017/12/11]
星级服务有多高？中国电科卫星级服务告诉你 | 电科有方案·系列报道	http://mp.weixin.qq.com/s/au9ZT8lrs04ocOw9SVxAgg	[2017/12/07]
熊群力：坚持创新驱动 促进互联网普惠共享 | 乌镇直击	http://mp.weixin.qq.com/s/z1nCiGep6ka_8rPRZKkbYA	[2017/12/05]
不仅智能、还很节能，数据助力企业节能降耗 | 电科有方案·系列报道	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890126&idx=5&sn=f9f18b5136bf98420a4b5f72bc0a922f&chksm=be95a0ad89e229bb73b340f8cbdbb73b3b07651fc46efcc057797898c7ee50d79b9f9d90d9eb#rd	[2017/11/27]
媒体记者团走进中国电科，近距离感受“安可”魅力	/zgdzkj/_300931/_300935/493670/index.html	[2017/11/27]
左群声：贯彻落实十九大精神，强化督促检查，切实扛起全面从严治党的责任	https://mp.weixin.qq.com/s/o5R2cuAs3V6anbk5TlSF2g	[2017/12/08]
学懂弄通做实十九大精神，电科院迅速掀起“大学习”热潮 | 十九大·在电科	http://mp.weixin.qq.com/s/Ui42kYjQUh3JqXWs9ZZs-A	[2017/12/08]
熊群力在京会见重庆市九龙坡区刘小强区长一行	http://mp.weixin.qq.com/s/Ab4fs_sLqK_F-YGbpZ83dQ	[2017/12/07]
刘烈宏：打造数字经济发展的澎湃动力 | 乌镇直击	http://mp.weixin.qq.com/s/ULfhngFZ6PFyu1Cs80ai4g	[2017/12/05]
数字引领 卓越智能！中国电科重磅发布9款新产品、新成果 | 乌镇直击	/zgdzkj/_300931/_300935/494588/index.html	[2017/12/05]
一图读懂中国电科学习宣贯党的十九大精神培训大会主旨报告 | 十九大·在电科	http://mp.weixin.qq.com/s/NNNgIfsLRV7hJrY8m3oPNg	[2017/12/05]
高举团旗 紧跟党走 共青团中国电子科技集团公司第二次代表大会在京举行	http://mp.weixin.qq.com/s/4u27A8Ilm3LHScnD5SLpwg	[2017/11/24]
刘烈宏：把握数字经济发展规律 打造网信事业排头兵	/zgdzkj/_300931/_300935/495104/index.html	[2017/12/07]
张登洲:认真贯彻十九大精神，抓好财务决算工作	http://mp.weixin.qq.com/s/LjT0dkZ0BNOf2TRuJ0cviA	[2017/12/07]
乌镇峰会正式开幕 王沪宁点赞中国电科新型智慧城市建设 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890286&idx=1&sn=63d7b871715d8a503d279e65e0e86c9f&chksm=be95a00d89e2291b6a9b2c210235461488441038615fdcd047df62bf61f153dd0d7b82eef53d#rd	[2017/12/03]
中国电科与腾讯战略合作签约 打造新的产业增长点 | 关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890286&idx=2&sn=3e910d376dbe503d3dbf054bba81768d&chksm=be95a00d89e2291bc11f261bafa6d6d883b568cc0e3e79b897204831d5d24be5227847eaa274#rd	[2017/12/03]
共青团中国电子科技集团公司第二次代表大会工作报告 | 图解	https://mp.weixin.qq.com/s/a35pFD0xg4ueW4N4XsLruQ	[2017/11/24]
32所领导干部深学细思讲好十九大后第一堂党课 | 十九大·在电科	http://mp.weixin.qq.com/s/Wp7lcYQMb8J3WHTXAso3ig	[2017/11/24]
互联网之光博览会今日开幕，中国电科新型智慧城市创造美好生活 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890274&idx=1&sn=cc4d77c8e04929c4a7df77074496dd7f&chksm=be95a00189e2291713b8a3fecbbbe18c9f47fa1a7ad4f97f099cf915d842a87afd17ce2555d9#rd	[2017/12/02]
这个关键小器件，能给电流做好“加减法” | 电科有方案•系列报道	http://mp.weixin.qq.com/s/Y6ordTnmfeENFcGYhZlFQQ	[2017/11/24]
熊群力出席中电力神新品发布，加快推进新能源产业发展步伐	http://mp.weixin.qq.com/s/B_TsjvWYH1tX_sP5ykOKUg	[2017/11/23]
电科装备跨地域联动开展系列学习宣贯推动党的十九大精神落地生根 | 十九大·在电科	http://mp.weixin.qq.com/s/CDVDgpxuu44CmCKXbLQSAw	[2017/11/23]
缔造“超级神针” 编织梦想起航助力 | 十九大·共话·同心圆	http://mp.weixin.qq.com/s/b6SDI3fcc_0vhHrSYMlSag	[2017/11/23]
智慧低空，“航云”相助 | 电科有方案•系列报道	http://mp.weixin.qq.com/s/yKLURKLYaMPCtwygr_qNmg	[2017/11/23]
左群声：打造电能源产业子集团，推动新能源产业发展	https://mp.weixin.qq.com/s/hdGJ8-NQU5ev-zHwIL6rJQ	[2017/11/22]
彭冈：深入学习贯彻党的十九大精神，全力做好纪检监察与审计工作	http://mp.weixin.qq.com/s/ZBJY_yESY1_L04N5C5BZBg	[2017/11/22]
以新姿态新风貌跨进伟大新时代 中国电科学习宣贯党的十九大精神培训会圆满结束 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890263&idx=1&sn=843fe4ed7a0e9bed5885fef35655b829&chksm=be95a03489e2292228936fd8e58c6f4bae20523ce8711e75549e8c5bafd6e3d7a028ffed7dce#rd	[2017/12/01]
学懂弄通做实，再鸣“三个转变”号角！中国电科召开学习宣贯党的十九大精神培训会，熊群力作主旨报告 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890210&idx=1&sn=5c0783109ffb0ae57390e973ce2d7aeb&chksm=be95a04189e2295774499355e4a47f3fcbdf76b3fdfbaa0c70cfb9b236b0ce0941ec48958000#rd	[2017/11/30]
中国电科15所多措并举，推动学习贯彻十九大精神走深走实 | 十九大·在电科	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890210&idx=2&sn=aff2f43a7bcd7492a95c58ef99996487&chksm=be95a04189e22957ff350e1d93acfe19fcd57e3371fe558cefa8b3676794311c61d0aec1d776#rd	[2017/11/30]
熊群力：学习宣传贯彻十九大精神，突出主业，以创新促发展 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&tempkey=OTMwXzcwbld6TmwrNUNjRzhXZ3dOOTdIYTZ2TWxYQnpiVFptOEJiLU1TVFZCMzZmTDlGamN6OVpnMW5Tak8zZlNDLWZKeTl3b3RGdG9XbmtLWGhUWXpGZTBubHllQkkydXhqTXMwTURuQzRicUQwbTdnbENOWkd0c0wxNU9jRm1GZVRWbzNTVDhNUTROcjIwR08wVDJKdjRRQWJfTk92dUhoWks1VWdWbHd%2Bfg%3D%3D&chksm=3e95a1c909e228df8a4180b2d3dea7b3f9960e0c53a1a1f57e341317252a33712ef0ad5a92e6#rd	[2017/11/13]
你的每一次通信，都有它们在默默助力 | 电科有方案·系列报道	http://36.110.89.83:8984/eportal/admin?moduleId=1&struts.portlet.action=/security/toIndex.action	[2017/11/30]
刘烈宏会见英国驻上海总领事吴侨文，就智慧城市合作交换意见 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890180&idx=1&sn=d5eab7a07ba552fd4532d34b1bdc50b7&chksm=be95a06789e2297103743fde19d48d470cee9e00fe7a43b7f4b8a28d73272a851950f129f0d4#rd	[2017/11/29]
中国电科参加国资委召开的学习贯彻党的十九大精神报告会	/zgdzkj/_300931/_300935/491028/index.html	[2017/11/08]
中国电子科技集团公司党组关于认真学习宣传贯彻党的十九大精神的指导意见	/zgdzkj/_300931/_300935/492414/index.html	[2017/11/07]
吴曼青：构建巨大创新网络，推动微系统技术快速发展 | 关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890180&idx=2&sn=aac37693dbb71ea62df392f846e98e29&chksm=be95a06789e22971c70a41e09bbfd3f8bcc682bcf5ede9978b8610cff2fe04a363b5e36084dd#rd	[2017/11/29]
中国电科14所学习宣贯党的十九大精神，牢记使命担当 | 十九大·在电科	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890180&idx=3&sn=b3da04c534210a53223f30a0c278dcb8&chksm=be95a06789e22971099ca0341dc184ea1cc91434c538a9b0514021ffad9fc8d1c180d3039823#rd	[2017/11/29]
双星首发成功！ 电科智慧助力北斗三号安全腾飞 | “北斗三号”时刻	/zgdzkj/_300931/_300935/490729/index.html	[2017/11/07]
马凯肯定央企创新成就，中国电科获点赞 | 央企创新成就展	https://mp.weixin.qq.com/s/_f-FWDaqRtfIgEbKrafVVA	[2017/11/06]
看路况、变颜色，聪明的红绿灯「慧」治堵 | 电科有方案·系列报道	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890180&idx=5&sn=cc1a0cf6892015675a71fd30347367c6&chksm=be95a06789e229711e401e6b198467a7291b23d21d5ee484f01c8934117ac997d8528d98c7eb#rd	[2017/11/29]
中国电科外部董事调研南京、上海成员单位 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890157&idx=1&sn=d17a2d6890bc737ac1edfaf6aa118717&chksm=be95a08e89e2299826addbeea1c40d8ada772e970ad34aa695548fa798a624978d49f3295080#rd	[2017/11/28]
脱真贫 真脱贫 熊群力深入定点帮扶绥德县调研	http://mp.weixin.qq.com/s/7DJ2woN71RikezVrTnGtOw	[2017/11/06]
以十九大精神为引领 中国电科科学部署2018年全面预算管理工作	http://mp.weixin.qq.com/s/B2mFGQ0mHVQSi0FBqtqpFA	[2017/11/06]
特别策划·时间胶囊 | 新时代 中国电科供给侧深发力 打造新动能	/zgdzkj/_300931/_300935/499321/index.html	[2018/01/23]
张登洲：加强中巴友谊，打造精品示范项目 | 特别关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890157&idx=2&sn=61debe01ac6e6f4e0656a6aedfc758dd&chksm=be95a08e89e229981809dea93aa11329edb2a2948461188b33848fa37fa14c49931d32cf06dd#rd	[2017/11/28]
王政：贯彻落实十九大精神，切实谋划好2018年重点工作 | 北京片区对接会	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890157&idx=3&sn=3d76e840069ce8c01b222a77260c8cc0&chksm=be95a08e89e2299840883d1e1146aca3752fab58bd60dc1196acba995572026fac72cc33c4ff#rd	[2017/11/28]
深化合作，刘烈宏在京会见四川省副省长彭宇行	http://mp.weixin.qq.com/s/PYgHBfL4dQsVkZ8-fpAuTQ	[2017/11/06]
学懂 弄通 做实 | 中国电科各成员单位迅速学习宣传贯彻党的十九大精神（四）	http://mp.weixin.qq.com/s/ybLRGYwDwGOaai4Sj9bz6A	[2017/11/06]
中国电科党组召开2017年度民主生活会	http://mp.weixin.qq.com/s/c-U2QGcGTSd_3-ko6SSY-Q	[2018/01/23]
真述 真评 真考 | 中国电科启动2017年度成员单位基层党建述职评议考核	http://mp.weixin.qq.com/s/NO17wKTVuEqBSm5uFOf1ZA	[2018/01/23]
中国电科与中国地震局携手地震信息化建设 加强重大项目合作	http://mp.weixin.qq.com/s/zsxGqqQ18UiQ1jEpleiUbw	[2018/01/23]
彭冈：纪检战线要深入学习宣传贯彻党的十九大精神，强化责任担当 | 关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890157&idx=4&sn=34f23e287962d7140563b83564feb326&chksm=be95a08e89e22998529e02597c7c5d68f4586bbf9c371fe95cd710e7bdf369a3e1f9987d856e#rd	[2017/11/28]
追行踪、读表情、测心率，人工智能电科有「神器」 | 电科有方案·系列报道	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890157&idx=5&sn=9435cb91a8204825d7fb2c841f4b5f6e&chksm=be95a08e89e22998d64c2e7c148b357740017e29c1949f6c53ab8aa29c80b58e62eed2af382f#rd	[2017/11/28]
10亿元基金为双创，中国电科成立主要面向熠星的创投基金	http://mp.weixin.qq.com/s/LXc1e-phNKqZ8FKQmsw2cQ	[2017/11/06]
管理船舶交通，我们有“智慧” | 电科有方案•系列报道	http://mp.weixin.qq.com/s/ZFTSM3lrcrxVjDIniEo_7w	[2017/11/06]
中国电科召开董事会2017年第四次定期会议及其专门委员会会议	http://mp.weixin.qq.com/s/G8B8qEKzLiAXN0WD19x9KQ	[2017/11/06]
特别策划•时间胶囊 | 致敬身边榜样，汇聚前行力量 [VIII]	http://mp.weixin.qq.com/s/CjX6kGiz5SYh0fXShu1gOg	[2018/01/23]
通过！“中国电科系”上市平台再添新军，增至9家	http://mp.weixin.qq.com/s/k4LqyVzKYv8VW3LUjbVx7g	[2018/01/23]
刘烈宏：汇聚优势资源，助力审判体系和审判能力现代化建设 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890126&idx=1&sn=0fa6e57231c29bf39d01c9f7428ef70b&chksm=be95a0ad89e229bb82e5dc82f2c05d75d9082f308186e8b07a4a3ebb9b48d78b2596fcc6df33#rd	[2017/11/27]
助推人才强企 电科大学陵水校区正式揭牌启动	http://mp.weixin.qq.com/s/rnZgb4WNphMV1UxX-8kGmQ	[2017/11/06]
车辆不再“无处安放”，智慧停车让生活更美好 | 电科有方案•系列报道	http://mp.weixin.qq.com/s/7k3diA-jJyLXvAE5Nj8ZjQ	[2017/11/06]
特别策划•时间胶囊 | 让科技创新落地， 电科方案走心！[Ⅶ ]	http://mp.weixin.qq.com/s/Z0FcZtFYHszZZNPp4ITEzA	[2018/01/23]
中国电科：双向融合 | 英才专访	/zgdzkj/_300931/_300935/499207/index.html	[2018/01/23]
胡爱民：携手中国太平，共同探索产融结合“新路径” | 关注	http://mp.weixin.qq.com/s/8eiJ55fSqlTN_7pT4PHjVQ	[2018/01/23]
特别策划•时间胶囊 | 责任电科，大爱于行 ［VI］	http://mp.weixin.qq.com/s/ZMK65Bpgx7XG8FtUhCGITg	[2018/01/23]
中国电科批复同意组建太极子集团	http://mp.weixin.qq.com/s/6473PYojeuQtboIzZZTU7g	[2018/01/17]
特别策划•时间胶囊 | 新时代，强力CP手拉手共奋斗 ［V］	http://mp.weixin.qq.com/s/fOD2IwZSD9OVsewlxUGt4Q	[2018/01/17]
特别策划•时间胶囊 | 细数这一年国内外重大展会中的电科印记［IV］	http://mp.weixin.qq.com/s/CzDNzP9FPkLkWqK4iijexg	[2018/01/17]
CP当道！“脑机智能”实验室为您的智慧健康绞尽“脑”汁！	http://mp.weixin.qq.com/s/qJy9paSf_u_1uuAnOd7zsQ	[2018/01/17]
专业、智能、友好，「智慧司法」的精度和速度 | 电科有方案•系列报道	http://mp.weixin.qq.com/s/krPNrJs6_BnkIdL_34FiEA	[2017/11/22]
666！从一无所有到傲视全球！这个中国造“神器”震撼世界！ | 媒体看电科	http://mp.weixin.qq.com/s/0E3zyllckV5VE4aaktmpog	[2017/11/22]
全系统学习宣传贯彻党的十九大精神进行时① | 十九大·在电科	http://mp.weixin.qq.com/s/Wfjl-UzNXwdfs7r38lOJrQ	[2017/11/22]
刘烈宏出席全球智慧城市博览会，共论中西智慧城市发展	http://mp.weixin.qq.com/s/SLK6OyGmd7eteYSL1iiT2Q	[2017/11/21]
IPC国际手工焊接世界冠军赛落幕 中国电科张易夺冠	http://mp.weixin.qq.com/s/aaaFn6La2hW87B3KK52zcA	[2017/11/21]
聪明脑袋「慧」灭火，消防安全全靠它 | 电科有方案·系列报道	http://mp.weixin.qq.com/s/z7slJaa8EyZWne_nV0BfJg	[2017/11/21]
一个主题，七张海报，近期电科青年有大招！	http://mp.weixin.qq.com/s/rDC6i4CgxtuYOBlZrx2VwQ	[2017/11/21]
中国电科党组印发《关于认真学习宣传贯彻党的十九大精神的指导意见》| 十九大·在电科	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889941&idx=3&sn=3b54924e92c3c3863c32279c1e0ecf51&chksm=be95a17689e2286097155a366a67d176335ea53b6e8db015200b5e3f2b8e5db86fe5514114a3#rd	[2017/11/17]
熊群力会见江苏省委书记娄勤俭，并出席中国电科与南京市战略合作协议签约仪式 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889941&idx=1&sn=9e928b2b2c15b0d9e0715ba6b6befba1&chksm=be95a17689e2286070a85689ac553df77d9f76dcb6052bf3660d55f8ee414cc1e1b11d8918b7#rd	[2017/11/17]
一图读懂中国电科党组十九大精神指导意见 | 十九大·在电科	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889941&idx=4&sn=d8284553f9b3865f91a4d26d2878ee09&chksm=be95a17689e22860c4e4f0243fa4fd6458a696ec8af32a67a46c8141e704d3af7d211ce559d5#rd	[2017/11/17]
中国电科重磅推出 《学习党的十九大精神专题辅导资料读本》	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889898&idx=4&sn=ff2b97ccaae9f163a16985d1169c739d&chksm=be95a18989e2289f757083812ee99b623eb213e5b5e115133aa14bfaa195fc31032621ee4172#rd	[2017/11/15]
中国电科：以加强统战工作为抓手 凝聚企业改革发展智力资源 | 十九大·共话·同心圆	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889886&idx=3&sn=b8ef6645e3929d75b256ab89b8bc169e&chksm=be95a1bd89e228ab14e32e138f73bfb45fd3f122d2a43ba32bcfb0b901d886e32a09ccf5d075#rd	[2017/11/14]
刘烈宏：在产业发展上一定要有战略定力和决策决心 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889886&idx=1&sn=10664c85205bc3ae6c1936e209226bcd&chksm=be95a1bd89e228ab6f937718fe2ed60c16b43e59cb4ddc30d6b12630538f110589eabe4b0039#rd	[2017/11/14]
团中央书记处书记汪鸿雁参观央企成就展 点赞央企青年创新工作 | 关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649889886&idx=2&sn=4481d00f530b339692940a3b92c68123&chksm=be95a1bd89e228ab269cdbda0d30928c79a472283ecff48d02ee01f3e0b4c3669f61f60fa0cb#rd	[2017/11/14]
北斗三号双星成功发射 中国电科奋进新时代 | 特别关注	http://mp.weixin.qq.com/s/5eneApSZHSiENnuHYDf2LQ	[2018/01/15]
特别策划•时间胶囊 | 新征程，全面改革不断深化、持续落地（III）	http://mp.weixin.qq.com/s/dEyExv78HqrHwQJyaCkDWA	[2018/01/15]
护航数字中国，守护中国家医平台数据安全 | 电科有方案·系列报道	http://mp.weixin.qq.com/s/UO572NDsVzUqqeyOhghXFQ	[2018/01/15]
中国电科召开董事会2018年第一次定期会议及其专门委员会会议	http://mp.weixin.qq.com/s/y0g653QZ-WU8J2Gs14wbaQ	[2018/01/12]
中国电科入选2017年度国防科技工业十大新闻和十大创新人物（团队	http://mp.weixin.qq.com/s/BSk9OHnyCT4vcbMWdEO_QQ	[2018/01/12]
特别策划•时间胶囊 | 新时代，大国重器“有力量”［Ⅱ］	http://mp.weixin.qq.com/s/4MKc2mdp78tpAYe5L_gI4Q	[2018/01/12]
中国电科发展战略研究中心入选中国智库综合评价企业核心智库	http://mp.weixin.qq.com/s/pvt_hO2jNRifqkfHA-VowQ	[2018/01/12]
特别策划•时间胶囊 | 新时代，推进党的建设劲不松、步不停 ［Ⅰ］	http://mp.weixin.qq.com/s/hDPXhmf_Ag-OwsCwjY7ORA	[2018/01/12]
中国第一！中国电科又成功研制出什么逆天神器？	http://mp.weixin.qq.com/s/-CAeTNrd_KfXdm8hjSxYoQ	[2018/01/10]
中国电科：多层次、全覆盖、求实效，在改革发展中将学习宣贯党的十九大精神引向深入	http://mp.weixin.qq.com/s/0AYIh9FVFVYn1US1Jzit3w	[2018/01/10]
胡爱民：学深、悟透党的十九大精神，做实中国电科资产经营工作	http://mp.weixin.qq.com/s/uYpJXMvgdlfSL5Ry3I4ckw	[2018/01/09]
熊群力：类案智能推送系统上线，为“智慧法院”建设保驾护航	https://mp.weixin.qq.com/s/AsIhrfQwTYNKsHJeJR2mtg	[2018/01/09]
压实责任 树立导向 从严从实抓好2017年度党建工作考核	http://mp.weixin.qq.com/s/Z2xbXsD2eR4e9v5yvWBVZw	[2018/01/05]
全国首个国家级轻型通用飞机工程研究中心落户中国电科	http://mp.weixin.qq.com/s/hl1LknXtMHmx8zpURJiI2Q	[2018/01/05]
43所：学出新思路，推动十九大精神落地生根 | 十九大·在电科	http://mp.weixin.qq.com/s/QKoRco6i2J7zT8kIXzj2lg	[2018/01/05]
讲政治、深学习，为高质量召开民主生活会打牢基础 | 党组理论学习中心组学习会	https://mp.weixin.qq.com/s/3sMCuUMstmHXUhfo6EIPmg	[2018/01/05]
中国电科+中船重工，交流共研财务管理如何“与时俱进”	http://mp.weixin.qq.com/s/S9QX_ZNJ2DgBxRUwWQxOWw	[2018/01/05]
左群声：做新时代的电科新青年	http://mp.weixin.qq.com/s/AbTctWqkDB2-W24iNjmXNA	[2018/01/03]
胡爱民：主动作为，高质量履行办公厅“四部”工作职责 | 聚焦务虚会	http://mp.weixin.qq.com/s/DRcBfkcwauYd2d_n0haYQQ	[2018/01/03]
3000万新年贺礼！社会安全风险感知与防控大数据年度科研礼包来袭	http://mp.weixin.qq.com/s/61-lQ5C4VdsuzULwdcZufQ	[2018/01/03]
贴近市场、精准支撑，“安可工程”展示体验中心有“客”来	https://mp.weixin.qq.com/s/2Rka8abWyajx3CGOJCSXkg	[2018/01/03]
中国电科：在新时代协力前行 | 新年献词	http://mp.weixin.qq.com/s/YAqnH89yQfumlxPlWTjA7w	[2018/01/03]
中国电科完成公司制改制并变更名称	/zgdzkj/_300931/_300935/497335/index.html	[2017/12/29]
耳聪目明，破浪乘风 | 中国电科助力“鲲龙”AG600成功首飞	http://mp.weixin.qq.com/s/nsod_o55uLX9nmPNugP1vQ	[2017/12/25]
中国电科与柬埔寨高棉集团签署海洋信息化建设合作备忘录	http://mp.weixin.qq.com/s/rvS6jq6GRLICn-t3a2_20g	[2017/12/25]
发挥监督与再监督职能，当好政治生态“护林员”	http://mp.weixin.qq.com/s/7RhFCPTGOXxxQI_bam2oCQ	[2017/12/25]
以学促做，融入中心，13所多举措学习宣传贯彻十九大精神 | 十九大·在电科	http://mp.weixin.qq.com/s/HdSBoBfRKSugRdgOYdhuZw	[2017/12/25]
中国电科党组迅速传达学习中央经济工作会议精神	http://mp.weixin.qq.com/s/RfxCZK_H2ON3jEos1oVOlQ	[2017/12/25]
王政：立足新时代，努力开创中国电科经济运行管理新境界	http://mp.weixin.qq.com/s/LkzIpCAMJ6Qv8cdZjPWrnQ	[2017/12/25]
